file_name,angle_nge2,angle_nge1,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10
DU91-W2-250_125,67.4355,67.493,67.5287,67.6102,68.31,69.1828,70.0985,70.9638,71.7081,72.0179,72.2433,72.1656,71.7469
DU91-W2-250_126,67.7972,67.776,67.8333,67.9343,68.5711,69.363,70.2839,71.1556,71.9115,72.1108,72.2766,72.1282,71.3443
DU91-W2-250_127,67.6025,67.5977,67.6547,67.7717,68.4746,69.3179,70.2969,71.2348,71.9338,72.2336,72.5526,72.3709,72.0228
DU91-W2-250_128,67.3744,67.4465,67.5427,67.5973,68.3154,69.2138,70.1561,71.0332,71.8032,72.1745,72.5168,72.6756,76.0346
DU91-W2-250_129,67.7517,67.7317,67.7355,67.7977,68.4989,69.3039,70.1706,71.0174,71.7451,71.9783,72.1699,71.9344,71.085
DU91-W2-250_130,68.2215,68.2413,68.268,68.3629,69.1265,70.0338,70.9472,71.8384,72.6172,72.9634,73.2348,73.0699,72.4415
DU91-W2-250_131,67.7965,67.8016,67.8286,67.8773,68.5833,69.3664,70.2857,71.187,71.9095,72.1426,72.3142,72.0166,71.2162
DU91-W2-250_132,67.7461,67.7778,67.8576,67.93,68.6878,69.6288,70.5697,71.4711,72.2566,72.6755,72.8625,72.6981,72.2192
DU91-W2-250_133,67.3956,67.3518,67.3757,67.4403,68.0726,68.8363,69.6729,70.5002,71.1915,71.4576,71.7683,71.9538,73.6039
DU91-W2-250_134,68.0468,68.0418,68.1222,68.1942,68.9049,69.7661,70.7099,71.5649,72.3092,72.6077,72.8686,72.8031,72.2854
DU91-W2-250_135,67.6231,67.6943,67.7132,67.778,68.5117,69.4064,70.3607,71.2228,71.9546,72.2586,72.4465,72.2695,71.5329
DU91-W2-250_136,68.0304,68.0403,68.045,68.1129,68.7919,69.6282,70.535,71.3558,72.0627,72.2867,72.6239,72.4956,71.8889
DU91-W2-250_137,67.8726,67.944,67.978,68.0523,68.8099,69.7416,70.6616,71.5548,72.326,72.6951,72.9736,72.6854,72.0905
DU91-W2-250_138,67.7915,67.7256,67.7541,67.8234,68.4596,69.1993,70.0396,70.8384,71.5188,71.6776,71.9642,71.7963,71.3976
DU91-W2-250_139,67.4489,67.5137,67.5748,67.6962,68.5139,69.3807,70.373,71.3702,72.0992,72.4984,72.8114,72.7208,72.7234
DU91-W2-250_140,68.0206,68.0802,68.1305,68.2391,69.0051,69.8783,70.813,71.7427,72.5814,72.8924,73.1062,73.0285,72.6115
DU91-W2-250_141,68.5051,68.5527,68.5976,68.7321,69.5556,70.4183,71.3588,72.289,73.1262,73.3768,73.687,73.5955,73.4292
DU91-W2-250_142,67.7554,67.7541,67.8188,67.9401,68.6758,69.4944,70.4363,71.3607,72.1518,72.4094,72.6841,72.5031,71.9225
DU91-W2-250_143,67.8825,67.9049,67.983,68.1097,68.9082,69.7857,70.7893,71.7825,72.4907,72.8357,73.1614,72.9925,72.6911
DU91-W2-250_144,67.6242,67.636,67.6555,67.7298,68.4116,69.1695,70.062,70.9335,71.65,71.9082,72.0781,71.7654,70.9116
DU91-W2-250_145,67.602,67.5575,67.5598,67.609,68.2908,69.0669,69.9251,70.7637,71.4846,71.7279,71.9501,71.8068,71.1648
DU91-W2-250_146,67.6579,67.7594,67.8163,67.9157,68.7424,69.6782,70.6421,71.5946,72.4549,72.7936,73.0032,72.9124,72.4329
DU91-W2-250_147,67.6066,67.6133,67.6851,67.7117,68.3631,69.155,70.0646,70.9371,71.6552,71.8534,72.0888,71.9353,71.2442
DU91-W2-250_148,67.5755,67.6389,67.7171,67.7793,68.4993,69.383,70.4004,71.2396,71.9665,72.3146,72.6207,72.5204,73.3714
DU91-W2-250_149,68.0634,68.0725,68.1028,68.1915,68.9307,69.7883,70.6901,71.5497,72.286,72.5624,72.8145,72.7529,72.1946
DU91-W2-250_150,67.5543,67.4931,67.5142,67.5745,68.192,68.9265,69.7647,70.5672,71.244,71.4208,71.7174,71.5145,70.8116
DU91-W2-250_151,68.4102,68.3597,68.4004,68.5244,69.2866,70.1093,71.0456,71.9802,72.771,73.0367,73.3057,73.2786,72.8339
DU91-W2-250_152,67.891,67.867,67.8958,67.9602,68.6566,69.4704,70.3598,71.2049,71.9397,72.1944,72.4095,72.2794,71.6118
DU91-W2-250_153,67.9226,67.944,68.0423,68.1854,68.9302,69.7902,70.7691,71.7437,72.4722,72.7891,72.9882,72.8505,72.2306
DU91-W2-250_154,67.8255,67.8296,67.8545,67.9402,68.6064,69.4235,70.3457,71.1718,71.861,72.1723,72.4945,72.7407,75.3837
DU91-W2-250_155,68.0871,68.1033,68.1995,68.3315,69.0761,69.9303,70.9076,71.8714,72.5963,72.9076,73.1172,73.0007,72.4018
DU91-W2-250_156,67.9449,67.927,67.9854,68.0882,68.8043,69.6153,70.5537,71.4667,72.2409,72.5153,72.707,72.4322,71.5725
DU91-W2-250_157,67.5781,67.6077,67.6964,67.8029,68.4825,69.3238,70.2874,71.2357,71.9108,72.2303,72.4821,72.4166,72.7661
DU91-W2-250_158,68.1598,68.1529,68.2539,68.4027,69.1096,69.9753,70.9998,71.8759,72.6305,72.9821,73.3125,73.2959,74.1348
DU91-W2-250_159,68.1831,68.1719,68.2562,68.4087,69.1829,70.0281,71.0169,72.0191,72.7531,73.1015,73.3685,73.194,72.7778
DU91-W2-250_160,68.0519,68.0798,68.1717,68.3184,69.0973,69.9516,70.9284,71.8698,72.6959,72.985,73.1648,73.0018,72.387
DU91-W2-250_161,67.7346,67.7914,67.8847,67.9549,68.6907,69.6029,70.5444,71.4321,72.1778,72.5338,72.7741,72.6484,72.5059
DU91-W2-250_162,67.7501,67.854,67.9245,68.0423,68.8961,69.7731,70.756,71.7324,72.5191,72.9692,73.2257,73.2102,74.1543
DU91-W2-250_163,67.6843,67.6354,67.6164,67.661,68.3109,69.0467,69.923,70.7519,71.4071,71.5735,71.7923,71.5692,70.7976
DU91-W2-250_164,67.5598,67.5601,67.6103,67.697,68.426,69.2008,70.1187,71.0265,71.7945,72.0209,72.301,72.1792,71.767
DU91-W2-250_165,67.4688,67.4347,67.456,67.5171,68.1607,68.9555,69.7904,70.6163,71.305,71.6,71.8826,72.2794,75.7671
DU91-W2-250_166,68.0171,68.0052,68.0836,68.1619,68.8135,69.6325,70.5801,71.4901,72.1821,72.4236,72.6476,72.5105,71.8748
DU91-W2-250_167,67.39,67.4334,67.492,67.5714,68.3304,69.1995,70.142,71.0508,71.825,72.2034,72.3726,72.2228,71.5972
DU91-W2-250_168,67.4911,67.5504,67.6501,67.7392,68.4875,69.4121,70.4072,71.2902,72.0689,72.5056,72.711,72.5477,72.1533
DU91-W2-250_169,68.0928,68.166,68.2716,68.3502,69.1382,70.0886,71.0372,71.9624,72.7708,73.1987,73.3705,73.25,72.8313
DU91-W2-250_170,68.0282,68.0141,68.0919,68.2256,68.9922,69.859,70.8257,71.8055,72.5631,72.9008,73.1547,72.9375,72.4775
DU91-W2-250_171,67.9398,67.9901,68.0761,68.1438,68.8959,69.8042,70.7186,71.6357,72.4485,72.7911,72.9963,72.8781,72.478
DU91-W2-250_172,67.4766,67.4921,67.5683,67.66,68.32,69.1342,70.088,70.9973,71.673,71.9904,72.2304,72.1478,72.4566
DU91-W2-250_173,68.0902,68.0674,68.1431,68.2723,68.9383,69.7638,70.7022,71.5794,72.3336,72.5894,72.7472,72.5392,71.7102
DU91-W2-250_174,67.6489,67.7255,67.8457,67.9095,68.6933,69.6418,70.6703,71.5688,72.352,72.7831,73.0395,72.8188,72.3212
DU91-W2-250_175,67.2551,67.261,67.3145,67.3459,67.9711,68.7561,69.6751,70.5208,71.1823,71.487,71.714,71.8199,72.5222
DU91-W2-250_176,67.916,67.9289,68.0012,68.1078,68.8268,69.6993,70.6545,71.6071,72.3128,72.6148,72.8241,72.6807,71.9946
DU91-W2-250_177,67.711,67.76,67.8353,67.925,68.6718,69.5836,70.5265,71.4232,72.1967,72.5726,72.842,72.5921,72.0176
DU91-W2-250_178,68.211,68.2015,68.2793,68.387,69.0717,69.901,70.8725,71.7172,72.4448,72.7107,72.9912,72.9508,72.4165
DU91-W2-250_179,67.7086,67.7581,67.8537,68.0035,68.7772,69.6613,70.6853,71.6406,72.3865,72.8065,73.1798,73.0878,73.5718
DU91-W2-250_180,68.2796,68.2802,68.3584,68.4773,69.2127,70.0827,71.0446,71.9968,72.7169,73.0074,73.2183,73.0901,72.4277
DU91-W2-250_181,67.9038,67.8375,67.8512,67.9433,68.5979,69.3711,70.2284,71.0685,71.7823,71.9904,72.2055,72.0782,71.3662
DU91-W2-250_182,68.4433,68.4419,68.5239,68.6969,69.4292,70.3062,71.3042,72.268,73.0179,73.3636,73.6505,73.4783,73.1399
DU91-W2-250_183,67.829,67.8366,67.8802,67.9618,68.6638,69.4868,70.3786,71.2635,72.0185,72.3064,72.5083,72.1718,71.2823
DU91-W2-250_184,68.2032,68.1822,68.2189,68.3211,69.0244,69.8734,70.8188,71.6714,72.3776,72.6382,72.8311,72.6283,71.8229
DU91-W2-250_185,68.0945,68.1335,68.2172,68.2732,69.0083,69.9128,70.8406,71.713,72.487,72.8673,73.0846,72.9082,72.4775
DU91-W2-250_186,67.8301,67.8307,67.9144,68.0423,68.8332,69.6829,70.6547,71.6073,72.4534,72.7642,72.9779,72.75,72.174
DU91-W2-250_187,67.6669,67.6797,67.7272,67.8289,68.5614,69.4066,70.3374,71.2477,72.0492,72.3119,72.4878,72.3088,71.6211
DU91-W2-250_188,68.3351,68.3076,68.3275,68.3975,69.1238,69.9378,70.8475,71.6939,72.4345,72.6624,72.9154,72.8199,72.0905
DU91-W2-250_189,67.8478,67.7946,67.8193,67.9177,68.59,69.4237,70.3248,71.1506,71.8487,72.0817,72.2397,72.0573,71.2344
DU91-W2-250_190,67.7984,67.8433,67.9221,68.0052,68.7805,69.7303,70.6592,71.5725,72.381,72.7692,72.9474,72.8295,72.3875
DU91-W2-250_191,67.8898,67.9024,67.9874,68.0929,68.8602,69.7019,70.6511,71.5463,72.3038,72.6493,72.8703,72.5385,71.8035
DU91-W2-250_192,67.7094,67.7553,67.8294,67.892,68.607,69.4891,70.4779,71.3639,72.1,72.4121,72.6261,72.4661,71.7355
DU91-W2-250_193,67.9236,67.9466,68.0604,68.1047,68.808,69.6756,70.6706,71.5392,72.2616,72.565,72.786,72.5855,71.8907
DU91-W2-250_194,67.2861,67.3343,67.405,67.4706,68.1907,69.0157,69.9642,70.8762,71.6147,71.9285,72.1977,72.149,73.3891
DU91-W2-250_195,67.7835,67.7856,67.8245,67.8895,68.5879,69.4511,70.3605,71.2147,71.9645,72.2542,72.4993,72.4189,71.7358
DU91-W2-250_196,68.056,68.0334,68.1024,68.2402,68.9109,69.7323,70.6603,71.5271,72.2623,72.5553,72.7318,72.5105,71.6205
DU91-W2-250_197,68.3384,68.3287,68.3954,68.4797,69.1704,69.9935,70.9466,71.8469,72.5528,72.7941,73.0365,72.8884,72.1422
DU91-W2-250_198,67.444,67.4286,67.4837,67.5079,68.1804,68.9535,69.7855,70.606,71.2926,71.4975,71.7867,71.6918,71.5614
