file_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
CQU-DTUB18_15,27.2866,30.7508,34.0219,37.0942,39.7079,42.182,44.5204,46.5337,48.4269,50.4959,52.4862,54.6312,56.9157,59.2682,61.466,62.883,62.3008,60.0638,57.9063,55.7551,54.2502,53.5022,52.977,51.9575,50.3401,48.5882,46.75,44.9913,43.1787,41.0906,39.1056
CQU-DTUB18_16,27.1251,30.6004,33.8823,36.965,39.5875,42.0702,44.4168,46.4369,48.3351,50.4046,52.3906,54.5319,56.8158,59.1677,61.3689,62.8456,62.3389,60.1517,58.0432,56.0178,54.7193,54.0817,53.377,52.0122,50.3441,48.5921,46.7419,44.9609,43.1144,40.9749,38.9305
CQU-DTUB18_17,28.6608,32.0314,35.2138,38.2033,40.7476,43.1583,45.4404,47.412,49.2853,51.3788,53.4203,55.5963,57.8804,60.2358,62.3779,63.2187,61.9945,59.7156,57.6529,55.6958,54.5414,54.0257,53.3405,51.9223,50.2512,48.4969,46.646,44.8661,43.0218,40.8845,38.8404
CQU-DTUB18_18,26.0621,29.6106,32.9622,36.1107,38.789,41.3237,43.7181,45.7762,47.7,49.7665,51.7196,53.8309,56.1095,58.4619,60.6763,62.4953,62.4251,60.5037,58.4153,56.4869,55.3223,54.5932,53.6564,52.0409,50.3731,48.6195,46.7545,44.9478,43.0637,40.8687,38.7626
CQU-DTUB18_19,29.8424,33.1326,36.2389,39.1573,41.6421,43.9981,46.2317,48.169,50.0314,52.1554,54.2397,56.4334,58.7144,61.0804,63.0609,63.3775,61.6103,59.3681,57.3172,55.3827,54.2938,53.8652,53.2391,51.8545,50.1811,48.4264,46.5796,44.8075,42.9744,40.852,38.8226
CQU-DTUB18_20,25.9485,29.5048,32.8639,36.0194,38.7037,41.244,43.6435,45.7057,47.6324,49.6991,51.6489,53.7568,56.0345,58.3871,60.6013,62.4522,62.4272,60.5396,58.4506,56.5267,55.3669,54.6241,53.6675,52.0373,50.3694,48.6154,46.749,44.94,43.0527,40.8531,38.742
CQU-DTUB18_21,27.3804,30.8386,34.1043,37.1721,39.7825,42.2543,44.5918,46.6056,48.5011,50.5757,52.572,54.7202,57.0042,59.355,61.548,62.9318,62.3249,60.126,58.0868,56.214,55.1515,54.4953,53.574,51.9398,50.2695,48.5119,46.644,44.8365,42.9532,40.76,38.6552
CQU-DTUB18_22,28.949,32.3,35.4638,38.436,40.9658,43.3633,45.6336,47.5968,49.4669,51.5671,53.6193,55.8004,58.0839,60.4412,62.5643,63.2695,61.904,59.6389,57.5899,55.6615,54.5575,54.0625,53.3598,51.905,50.2333,48.4785,46.6262,44.8445,42.9977,40.8562,38.8069
CQU-DTUB18_23,25.3084,28.9084,32.3091,35.5036,38.2206,40.7911,43.2176,45.3009,47.2423,49.3088,51.2396,53.327,55.5995,57.9543,60.1632,62.1776,62.4014,60.7057,58.5658,56.5575,55.2614,54.504,53.6324,52.1163,50.4499,48.7006,46.8441,45.0479,43.1774,41.0015,38.9172
CQU-DTUB18_24,26.2145,29.7522,33.0932,36.2314,38.9006,41.4262,43.8116,45.8617,47.7788,49.8422,51.7977,53.9129,56.1931,58.5466,60.7622,62.537,62.3983,60.4056,58.2528,56.1633,54.743,54.0097,53.3243,52.0667,50.4002,48.6502,46.804,45.0279,43.1879,41.0583,39.0266
CQU-DTUB18_25,29.503,32.8162,35.9442,38.8828,41.3845,43.7559,46.0029,47.9492,49.8133,51.927,53.9989,56.1883,58.4703,60.8322,62.881,63.3403,61.7133,59.4508,57.3752,55.3816,54.1948,53.7302,53.1572,51.8758,50.2031,48.4489,46.6054,44.8389,43.0139,40.9043,38.8901
CQU-DTUB18_26,30.353,33.6087,36.6825,39.5707,42.0305,44.364,46.5781,48.503,50.3648,52.5064,54.609,56.8079,59.087,61.4586,63.3106,63.4185,61.4668,59.2688,57.2855,55.5097,54.6538,54.202,53.3862,51.775,50.0991,48.3399,46.4791,44.6866,42.825,40.6609,38.5841
CQU-DTUB18_27,29.9654,33.2473,36.3458,39.2568,41.7356,44.0862,46.315,48.2492,50.1113,52.2394,54.3282,56.5233,58.8038,61.1716,63.1235,63.3894,61.5752,59.3432,57.3077,55.4096,54.3768,53.9557,53.2905,51.8464,50.1727,48.4176,46.5682,44.7921,42.953,40.8216,38.7818
CQU-DTUB18_28,27.3651,30.824,34.0903,37.1582,39.7684,42.2395,44.5756,46.5876,48.4809,50.5525,52.5466,54.6941,56.9786,59.3306,61.5254,62.9138,62.3038,60.0751,57.9646,55.9251,54.6089,53.9814,53.314,51.9991,50.3305,48.5783,46.7303,44.9533,43.113,40.9826,38.9484
CQU-DTUB18_29,27.8055,31.2343,34.4718,37.5128,40.1002,42.5502,44.8672,46.8644,48.749,50.8256,52.835,54.9929,57.2779,59.6306,61.811,63.0265,62.2178,59.9293,57.8073,55.7245,54.3486,53.7184,53.1414,51.9694,50.3064,48.5537,46.7112,44.9445,43.1198,41.0126,39.0045
CQU-DTUB18_30,25.9321,29.4894,32.8495,36.0058,38.6907,41.2315,43.6312,45.6935,47.6201,49.6862,51.6352,53.7425,56.0202,58.3732,60.5877,62.4432,62.4234,60.536,58.4357,56.4863,55.2883,54.5643,53.6565,52.0721,50.4052,48.6533,46.7916,44.9892,43.1105,40.923,38.8252
CQU-DTUB18_31,26.0055,29.5579,32.9133,36.0655,38.7469,41.2847,43.6818,45.7423,47.6678,49.7348,51.6865,53.7961,56.0741,58.4265,60.6406,62.4756,62.4288,60.527,58.4452,56.5351,55.3948,54.6458,53.6674,52.018,50.3496,48.5944,46.7257,44.9137,43.0224,40.8174,38.7004
CQU-DTUB18_32,22.3714,26.1732,29.7667,33.1431,36.014,38.7277,41.2849,43.4738,45.4983,47.5997,49.4765,51.4659,53.6861,56.0452,58.2389,60.5104,61.9348,61.4123,59.2811,57.1131,55.5768,54.6011,53.6875,52.299,50.6275,48.8859,47.0418,45.2568,43.397,41.2342,39.1649
